Source,Target,Type
544,1868,Undirected
1226,1363,Undirected
1226,1868,Undirected
1363,1868,Undirected
816,1847,Undirected
152,471,Undirected
152,648,Undirected
152,654,Undirected
152,703,Undirected
152,1658,Undirected
152,2063,Undirected
471,648,Undirected
471,654,Undirected
471,703,Undirected
471,1658,Undirected
471,2063,Undirected
648,654,Undirected
648,703,Undirected
648,1658,Undirected
648,2063,Undirected
654,703,Undirected
654,1658,Undirected
654,2063,Undirected
703,1658,Undirected
703,2063,Undirected
1658,2063,Undirected
249,1103,Undirected
249,1970,Undirected
249,1971,Undirected
1103,1970,Undirected
1103,1971,Undirected
1970,1971,Undirected
138,471,Undirected
1671,1978,Undirected
1183,1683,Undirected
206,705,Undirected
1145,1146,Undirected
816,817,Undirected
816,1842,Undirected
816,2097,Undirected
817,1842,Undirected
817,2097,Undirected
1842,2097,Undirected
138,1324,Undirected
138,2275,Undirected
1324,2275,Undirected
317,1458,Undirected
103,929,Undirected
145,1121,Undirected
145,1445,Undirected
1121,1445,Undirected
747,1036,Undirected
514,515,Undirected
1283,2040,Undirected
403,481,Undirected
403,1085,Undirected
481,1085,Undirected
132,633,Undirected
132,1417,Undirected
132,1552,Undirected
132,1758,Undirected
633,1417,Undirected
633,1552,Undirected
633,1758,Undirected
1417,1552,Undirected
1417,1758,Undirected
1552,1758,Undirected
505,1462,Undirected
505,1654,Undirected
1462,1654,Undirected
135,984,Undirected
135,1221,Undirected
135,1324,Undirected
984,1221,Undirected
984,1324,Undirected
1221,1324,Undirected
1526,1978,Undirected
401,402,Undirected
401,1083,Undirected
401,2095,Undirected
402,1083,Undirected
402,2095,Undirected
1083,2095,Undirected
1007,2257,Undirected
70,343,Undirected
70,416,Undirected
70,568,Undirected
70,962,Undirected
70,1855,Undirected
70,2051,Undirected
70,2053,Undirected
70,2267,Undirected
343,416,Undirected
343,568,Undirected
343,962,Undirected
343,1855,Undirected
343,2051,Undirected
343,2053,Undirected
343,2267,Undirected
416,568,Undirected
416,962,Undirected
416,1855,Undirected
416,2051,Undirected
416,2053,Undirected
416,2267,Undirected
568,962,Undirected
568,1855,Undirected
568,2051,Undirected
568,2053,Undirected
568,2267,Undirected
962,1855,Undirected
962,2051,Undirected
962,2053,Undirected
962,2267,Undirected
1855,2051,Undirected
1855,2053,Undirected
1855,2267,Undirected
2051,2053,Undirected
2051,2267,Undirected
2053,2267,Undirected
769,1142,Undirected
769,1170,Undirected
769,1631,Undirected
769,1980,Undirected
769,2122,Undirected
1142,1170,Undirected
1142,1631,Undirected
1142,1980,Undirected
1142,2122,Undirected
1170,1631,Undirected
1170,1980,Undirected
1170,2122,Undirected
1631,1980,Undirected
1631,2122,Undirected
1980,2122,Undirected
1305,1306,Undirected
821,917,Undirected
986,1985,Undirected
682,1135,Undirected
1472,2106,Undirected
401,402,Undirected
401,1684,Undirected
401,1896,Undirected
402,1684,Undirected
402,1896,Undirected
1684,1896,Undirected
138,1523,Undirected
138,1946,Undirected
1427,1435,Undirected
1427,1884,Undirected
1427,2151,Undirected
1435,1884,Undirected
1435,2151,Undirected
1884,2151,Undirected
1049,1432,Undirected
1049,2094,Undirected
1432,2094,Undirected
1126,1865,Undirected
1126,1876,Undirected
1865,1876,Undirected
307,1212,Undirected
307,1497,Undirected
307,2083,Undirected
1212,1497,Undirected
1212,2083,Undirected
1497,2083,Undirected
1543,1755,Undirected
1,310,Undirected
352,365,Undirected
352,370,Undirected
352,454,Undirected
352,1845,Undirected
352,1884,Undirected
352,2295,Undirected
365,370,Undirected
365,454,Undirected
365,1845,Undirected
365,1884,Undirected
365,2295,Undirected
370,454,Undirected
370,1845,Undirected
370,1884,Undirected
370,2295,Undirected
454,1845,Undirected
454,1884,Undirected
454,2295,Undirected
1845,1884,Undirected
1845,2295,Undirected
1884,2295,Undirected
302,325,Undirected
203,629,Undirected
203,848,Undirected
629,848,Undirected
468,970,Undirected
468,1608,Undirected
970,1608,Undirected
217,328,Undirected
217,381,Undirected
217,382,Undirected
217,1050,Undirected
217,1645,Undirected
217,1792,Undirected
217,1901,Undirected
328,381,Undirected
328,382,Undirected
328,1050,Undirected
328,1645,Undirected
328,1792,Undirected
328,1901,Undirected
381,382,Undirected
381,1050,Undirected
381,1645,Undirected
381,1792,Undirected
381,1901,Undirected
382,1050,Undirected
382,1645,Undirected
382,1792,Undirected
382,1901,Undirected
1050,1645,Undirected
1050,1792,Undirected
1050,1901,Undirected
1645,1792,Undirected
1645,1901,Undirected
1792,1901,Undirected
1043,1498,Undirected
1043,1502,Undirected
1498,1502,Undirected
379,1020,Undirected
379,1937,Undirected
1020,1937,Undirected
25,277,Undirected
25,1265,Undirected
25,1571,Undirected
277,1265,Undirected
277,1571,Undirected
1265,1571,Undirected
58,2052,Undirected
58,2053,Undirected
2052,2053,Undirected
25,769,Undirected
25,834,Undirected
769,834,Undirected
307,1416,Undirected
307,1447,Undirected
307,1497,Undirected
1416,1447,Undirected
1416,1497,Undirected
1447,1497,Undirected
1371,1940,Undirected
640,1653,Undirected
640,1702,Undirected
640,1911,Undirected
1653,1702,Undirected
1653,1911,Undirected
1702,1911,Undirected
677,765,Undirected
142,579,Undirected
142,659,Undirected
142,934,Undirected
142,987,Undirected
142,1226,Undirected
142,1246,Undirected
142,1484,Undirected
142,1692,Undirected
142,1760,Undirected
142,1893,Undirected
142,1982,Undirected
142,1983,Undirected
579,659,Undirected
579,934,Undirected
579,987,Undirected
579,1226,Undirected
579,1246,Undirected
579,1484,Undirected
579,1692,Undirected
579,1760,Undirected
579,1893,Undirected
579,1982,Undirected
579,1983,Undirected
659,934,Undirected
659,987,Undirected
659,1226,Undirected
659,1246,Undirected
659,1484,Undirected
659,1692,Undirected
659,1760,Undirected
659,1893,Undirected
659,1982,Undirected
659,1983,Undirected
934,987,Undirected
934,1226,Undirected
934,1246,Undirected
934,1484,Undirected
934,1692,Undirected
934,1760,Undirected
934,1893,Undirected
934,1982,Undirected
934,1983,Undirected
987,1226,Undirected
987,1246,Undirected
987,1484,Undirected
987,1692,Undirected
987,1760,Undirected
987,1893,Undirected
987,1982,Undirected
987,1983,Undirected
1226,1246,Undirected
1226,1484,Undirected
1226,1692,Undirected
1226,1760,Undirected
1226,1893,Undirected
1226,1982,Undirected
1226,1983,Undirected
1246,1484,Undirected
1246,1692,Undirected
1246,1760,Undirected
1246,1893,Undirected
1246,1982,Undirected
1246,1983,Undirected
1484,1692,Undirected
1484,1760,Undirected
1484,1893,Undirected
1484,1982,Undirected
1484,1983,Undirected
1692,1760,Undirected
1692,1893,Undirected
1692,1982,Undirected
1692,1983,Undirected
1760,1893,Undirected
1760,1982,Undirected
1760,1983,Undirected
1893,1982,Undirected
1893,1983,Undirected
1982,1983,Undirected
506,852,Undirected
367,1451,Undirected
145,757,Undirected
145,1449,Undirected
145,1788,Undirected
145,1838,Undirected
757,1449,Undirected
757,1788,Undirected
757,1838,Undirected
1449,1788,Undirected
1449,1838,Undirected
1788,1838,Undirected
138,369,Undirected
138,409,Undirected
369,409,Undirected
856,1544,Undirected
272,1304,Undirected
213,223,Undirected
209,282,Undirected
209,852,Undirected
209,862,Undirected
209,1198,Undirected
209,1300,Undirected
209,1778,Undirected
282,852,Undirected
282,862,Undirected
282,1198,Undirected
282,1300,Undirected
282,1778,Undirected
852,862,Undirected
852,1198,Undirected
852,1300,Undirected
852,1778,Undirected
862,1198,Undirected
862,1300,Undirected
862,1778,Undirected
1198,1300,Undirected
1198,1778,Undirected
1300,1778,Undirected
414,993,Undirected
414,1239,Undirected
993,1239,Undirected
413,1035,Undirected
413,2083,Undirected
1035,2083,Undirected
683,684,Undirected
769,770,Undirected
1070,2040,Undirected
1070,2040,Undirected
408,1149,Undirected
408,1240,Undirected
408,1242,Undirected
408,1342,Undirected
408,1598,Undirected
1149,1240,Undirected
1149,1242,Undirected
1149,1342,Undirected
1149,1598,Undirected
1240,1242,Undirected
1240,1342,Undirected
1240,1598,Undirected
1242,1342,Undirected
1242,1598,Undirected
1342,1598,Undirected
840,841,Undirected
630,1242,Undirected
785,1454,Undirected
785,1460,Undirected
785,1905,Undirected
1454,1460,Undirected
1454,1905,Undirected
1460,1905,Undirected
880,1432,Undirected
148,2226,Undirected
1970,1971,Undirected
1201,2008,Undirected
692,954,Undirected
1152,1581,Undirected
1152,1855,Undirected
1152,2149,Undirected
1152,2258,Undirected
1581,1855,Undirected
1581,2149,Undirected
1581,2258,Undirected
1855,2149,Undirected
1855,2258,Undirected
2149,2258,Undirected
1196,2149,Undirected
1196,2258,Undirected
2149,2258,Undirected
751,1456,Undirected
523,553,Undirected
523,1201,Undirected
523,2008,Undirected
553,1201,Undirected
553,2008,Undirected
1201,2008,Undirected
940,1360,Undirected
1255,1897,Undirected
1671,1891,Undirected
1671,2106,Undirected
1891,2106,Undirected
2019,2130,Undirected
655,2108,Undirected
431,591,Undirected
431,596,Undirected
431,715,Undirected
431,1648,Undirected
591,596,Undirected
591,715,Undirected
591,1648,Undirected
596,715,Undirected
596,1648,Undirected
715,1648,Undirected
114,1149,Undirected
1420,1983,Undirected
844,1238,Undirected
844,1526,Undirected
844,1597,Undirected
1238,1526,Undirected
1238,1597,Undirected
1526,1597,Undirected
318,659,Undirected
1552,1939,Undirected
1488,1731,Undirected
1241,1375,Undirected
1241,2018,Undirected
1375,2018,Undirected
118,1137,Undirected
118,2063,Undirected
1137,2063,Undirected
307,1324,Undirected
307,1612,Undirected
1324,1612,Undirected
1445,1943,Undirected
630,2103,Undirected
427,527,Undirected
427,1700,Undirected
527,1700,Undirected
136,1441,Undirected
92,316,Undirected
1028,2120,Undirected
639,848,Undirected
377,388,Undirected
377,1790,Undirected
388,1790,Undirected
1845,2237,Undirected
1135,1154,Undirected
1135,1179,Undirected
1154,1179,Undirected
561,1352,Undirected
561,1744,Undirected
561,1920,Undirected
561,1969,Undirected
1352,1744,Undirected
1352,1920,Undirected
1352,1969,Undirected
1744,1920,Undirected
1744,1969,Undirected
1920,1969,Undirected
1171,1192,Undirected
138,2197,Undirected
2149,2258,Undirected
600,1455,Undirected
600,1535,Undirected
1455,1535,Undirected
211,220,Undirected
211,1661,Undirected
220,1661,Undirected
1276,2263,Undirected
640,814,Undirected
640,1370,Undirected
640,1372,Undirected
814,1370,Undirected
814,1372,Undirected
1370,1372,Undirected
138,1189,Undirected
138,1446,Undirected
1189,1446,Undirected
506,852,Undirected
506,2041,Undirected
852,2041,Undirected
131,1212,Undirected
1480,1526,Undirected
1480,1597,Undirected
1526,1597,Undirected
135,470,Undirected
135,984,Undirected
135,993,Undirected
470,984,Undirected
470,993,Undirected
984,993,Undirected
682,1893,Undirected
209,1226,Undirected
53,732,Undirected
53,1563,Undirected
732,1563,Undirected
7,1546,Undirected
6,11,Undirected
6,1852,Undirected
11,1852,Undirected
153,2003,Undirected
135,561,Undirected
135,984,Undirected
135,1238,Undirected
561,984,Undirected
561,1238,Undirected
984,1238,Undirected
1533,1851,Undirected
886,1027,Undirected
1970,1971,Undirected
1525,2104,Undirected
623,1800,Undirected
1222,1381,Undirected
664,1256,Undirected
1289,1315,Undirected
302,325,Undirected
302,326,Undirected
325,326,Undirected
106,1239,Undirected
106,1248,Undirected
106,1709,Undirected
1239,1248,Undirected
1239,1709,Undirected
1248,1709,Undirected
64,668,Undirected
64,842,Undirected
64,981,Undirected
64,1433,Undirected
64,1877,Undirected
668,842,Undirected
668,981,Undirected
668,1433,Undirected
668,1877,Undirected
842,981,Undirected
842,1433,Undirected
842,1877,Undirected
981,1433,Undirected
981,1877,Undirected
1433,1877,Undirected
278,1527,Undirected
1254,1422,Undirected
45,264,Undirected
45,1454,Undirected
264,1454,Undirected
234,1050,Undirected
234,1305,Undirected
1050,1305,Undirected
698,949,Undirected
698,1124,Undirected
698,1134,Undirected
698,1716,Undirected
698,2273,Undirected
949,1124,Undirected
949,1134,Undirected
949,1716,Undirected
949,2273,Undirected
1124,1134,Undirected
1124,1716,Undirected
1124,2273,Undirected
1134,1716,Undirected
1134,2273,Undirected
1716,2273,Undirected
306,1796,Undirected
677,1138,Undirected
677,1254,Undirected
1138,1254,Undirected
310,852,Undirected
310,1675,Undirected
310,2170,Undirected
852,1675,Undirected
852,2170,Undirected
1675,2170,Undirected
769,1460,Undirected
769,1522,Undirected
769,1540,Undirected
1460,1522,Undirected
1460,1540,Undirected
1522,1540,Undirected
640,798,Undirected
640,1122,Undirected
798,1122,Undirected
439,1895,Undirected
682,1135,Undirected
682,1138,Undirected
1135,1138,Undirected
1043,1499,Undirected
1043,2075,Undirected
1499,2075,Undirected
1307,1656,Undirected
1419,1885,Undirected
118,264,Undirected
119,791,Undirected
380,1938,Undirected
1842,1843,Undirected
505,1725,Undirected
1618,1981,Undirected
240,940,Undirected
416,629,Undirected
1538,2286,Undirected
1843,2270,Undirected
